mpg,cylinders,cubicinches,hp,weightlbs,time-to-60,year,brand_id
29.0,4,97.0,75,2171.0,16,1976,2
32.0,4,144.0,96,2665.0,14,1983,2
35.1,4,81.0,60,1760.0,16,1982,2
19.2,8,267.0,125,3605.0,15,1980,1
23.0,4,120.0,88,2957.0,17,1976,3
20.6,6,225.0,110,3360.0,17,1980,1
27.0,4,151.0,90,2735.0,18,1983,1
15.0,8,350.0,165,3693.0,12,1971,1
18.1,8,302.0,139,3205.0,11,1979,1
31.3,4,120.0,75,2542.0,18,1981,2
27.5,4,134.0,95,2560.0,14,1979,2
14.0,8,455.0,225,4425.0,10,1971,1
15.0,6,250.0,72,3158.0,20,1976,1
28.0,4,107.0,86,2464.0,16,1977,3
19.0,6,250.0,88,3302.0,16,1972,1
18.0,3,70.0,90,2124.0,14,1974,2
29.5,4,98.0,68,2135.0,17,1979,2
19.0,6,232.0,100,2634.0,13,1972,1
16.2,6,163.0,133,3410.0,16,1979,3
24.3,4,151.0,90,3003.0,20,1981,1
17.5,8,318.0,140,4080.0,14,1979,1
18.0,6,171.0,97,2984.0,15,1976,1
23.0,6,198.0,95,2904.0,16,1974,1
23.0,4,97.0,54,2254.0,24,1973,3
19.9,8,260.0,110,3365.0,16,1979,1
16.0,6,225.0,105,3439.0,16,1972,1
26.0,4,156.0,92,2585.0,15,1983,1
20.0,6,156.0,122,2807.0,14,1974,2
38.0,4,105.0,63,2125.0,15,1983,1
32.4,4,107.0,72,2290.0,17,1981,2
20.3,5,131.0,103,2830.0,16,1979,3
29.0,4,68.0,49,3009.8333333333335,20,1974,3
31.0,4,112.0,85,2575.0,16,1983,1
21.0,4,122.0,86,2226.0,17,1973,1
26.0,4,96.0,69,2189.0,18,1973,3
14.0,8,400.0,175,4385.0,12,1973,1
14.0,8,304.0,150,3672.0,12,1974,1
20.2,8,302.0,139,3570.0,13,1979,1
31.5,4,98.0,68,2045.0,19,1978,2
19.8,6,200.9189189189189,85,2990.0,18,1980,1
33.8,4,97.0,67,2145.0,18,1981,2
17.5,8,305.0,140,4215.0,13,1977,1
18.0,8,318.0,150,3436.0,11,1971,1
34.0,4,112.0,88,2395.0,18,1983,1
20.8,6,200.0,85,3070.0,17,1979,1
18.0,6,250.0,105,3459.0,16,1976,1
13.0,8,318.0,150,3940.0,13,1977,1
14.0,8,351.0,153,4129.0,13,1973,1
13.0,8,440.0,215,4735.0,11,1974,1
25.8,4,156.0,92,2620.0,14,1982,1
28.4,4,151.0,90,2670.0,16,1980,1
13.0,8,400.0,190,4422.0,13,1973,1
15.0,8,350.0,145,4082.0,13,1974,1
14.0,8,318.0,150,4077.0,14,1973,1
41.5,4,98.0,76,2144.0,15,1981,3
27.2,4,135.0,84,2490.0,16,1982,1
43.1,4,90.0,48,1985.0,22,1979,3
29.0,4,90.0,70,1937.0,14,1976,3
33.5,4,85.0,70,1945.0,17,1978,2
26.0,4,116.0,75,2246.0,14,1975,3
23.0,4,140.0,83,2639.0,17,1976,1
23.9,8,260.0,90,3420.0,22,1980,1
19.0,6,225.0,100,3630.0,18,1978,1
21.0,4,140.0,72,2401.0,20,1974,1
15.0,8,390.0,190,3850.0,9,1971,1
40.8,4,85.0,65,2110.0,19,1981,2
18.0,6,250.0,88,3021.0,17,1974,1
13.0,8,307.0,130,4098.0,14,1973,1
25.4,6,168.0,116,2900.0,13,1982,2
22.0,6,146.0,97,2815.0,15,1978,2
17.7,6,231.0,165,3445.0,13,1979,1
39.1,4,79.0,58,1755.0,17,1982,2
30.0,4,79.0,70,2074.0,20,1972,3
22.0,6,225.0,100,3233.0,15,1977,1
32.9,4,119.0,100,2615.0,15,1982,2
37.0,4,85.0,65,1975.0,19,1982,2
14.5,8,351.0,152,4215.0,13,1977,1
28.8,6,173.0,115,2595.0,11,1980,1
15.0,8,302.0,130,4295.0,15,1978,1
17.5,6,258.0,95,3193.0,18,1977,1
21.6,4,121.0,115,2795.0,16,1979,3
14.0,8,318.0,150,4457.0,14,1975,1
16.5,6,168.0,120,3820.0,17,1977,3
14.0,8,302.0,137,4042.0,15,1974,1
32.0,4,83.0,61,2003.0,19,1975,2
10.0,8,360.0,215,4615.0,14,1971,1
31.0,4,76.0,52,1649.0,17,1975,2
21.0,6,200.0,85,2587.0,16,1971,1
27.0,4,140.0,86,2790.0,16,1983,1
15.0,8,383.0,170,3563.0,10,1971,1
28.0,4,120.0,79,2625.0,19,1983,1
23.0,4,140.0,78,2592.0,19,1976,1
16.0,8,318.0,150,4498.0,15,1976,1
20.0,4,130.0,102,3150.0,16,1977,3
44.0,4,97.0,52,2130.0,25,1983,3
14.0,8,318.0,150,4096.0,13,1972,1
20.2,6,200.0,85,2965.0,16,1979,1
39.0,4,86.0,64,1875.0,16,1982,1
23.0,4,122.0,86,2220.0,14,1972,1
13.0,8,350.0,145,4055.0,12,1977,1
18.0,6,225.0,105,3121.0,17,1974,1
16.0,8,400.0,180,4220.0,11,1978,1
25.0,4,110.0,87,2672.0,18,1971,3
14.0,8,454.0,220,4354.0,9,1971,1
15.0,8,318.0,150,3399.0,11,1974,1
19.4,8,318.0,140,3735.0,13,1979,1
44.3,4,90.0,48,2085.0,22,1981,3
28.0,4,97.0,75,2155.0,16,1977,2
29.0,4,135.0,84,2525.0,16,1983,1
32.1,4,98.0,70,2120.0,16,1981,1
24.0,4,121.0,110,2660.0,14,1974,3
36.4,5,121.0,67,2950.0,20,1981,3
13.0,8,350.0,145,3988.0,13,1974,1
23.5,6,173.0,110,2725.0,13,1982,1
24.0,4,113.0,95,2372.0,15,1971,2
17.0,8,305.0,130,3840.0,15,1980,1
36.1,4,91.0,60,1800.0,16,1979,2
22.0,6,232.0,112,2835.0,15,1983,1
18.0,6,232.0,100,3288.0,16,1972,1
22.0,6,250.0,105,3353.0,15,1977,1
